2015-03-11,"48,122"
2015-03-12,"47,971"
2015-03-13,"46,799"
2015-03-16,"47,066"
2015-03-17,"48,407"
2015-03-18,"49,73"
2015-03-19,"50,13"
2015-03-20,"50,618"
2015-03-23,"50,618"
2015-03-24,"51,062"
2015-03-25,"52,474"
2015-03-26,"51,506"
2015-03-27,"51,613"
2015-03-30,"52,439"
2015-03-31,"52,617"
2015-04-01,"52,083"
2015-04-02,"53,594"
2015-04-07,"54,392"
2015-04-08,"54,614"
2015-04-09,"56,221"
2015-04-10,"55,945"
2015-04-13,"56,035"
2015-04-14,"56,612"
2015-04-15,"55,786"
2015-04-16,"54,356"
2015-04-17,"53,282"
2015-04-20,"55,377"
2015-04-21,"56,39"
2015-04-22,"58,033"
2015-04-23,"57,74"
2015-04-24,"59,053"
2015-04-27,"61,54"
2015-04-28,"61,941"
2015-04-29,"60,031"
2015-04-30,"60,813"
2015-05-04,"61,976"
2015-05-05,"60,351"
2015-05-06,"58,61"
2015-05-07,"58,966"
2015-05-08,"60,386"
2015-05-11,"61,984"
2015-05-12,"61,984"
2015-05-13,"61,638"
2015-05-14,"59,88"
2015-05-15,"60,785"
2015-05-18,"61,807"
2015-05-19,"65,049"
2015-05-20,"65,269"
2015-05-21,"64,381"
2015-05-22,"63,983"
2015-05-25,"62,606"
2015-05-26,"63,538"
2015-05-27,"64,737"
2015-05-28,"64,559"
2015-05-29,"62,74"
2015-06-01,"62,997"
2015-06-02,"63,024"
2015-06-03,"63,05"
2015-06-05,"62,313"
2015-06-08,"61,612"
2015-06-09,"61,54"
2015-06-10,"60,386"
2015-06-11,"61,656"
2015-06-12,"61,096"
2015-06-15,"61,616"
2015-06-16,"62,188"
2015-06-17,"61,552"
2015-06-18,"63,826"
2015-06-19,"64,19"
2015-06-22,"66,028"
2015-06-23,"65,91"
2015-06-24,"65,965"
2015-06-25,"65,637"
2015-06-26,"66,42"
2015-06-29,"65,51"
2015-06-30,"67,174"
2015-07-01,"64,236"
2015-07-02,"64,735"
2015-07-03,"64,555"
2015-07-06,"64,972"
2015-07-07,"64,681"
2015-07-08,"65,401"
2015-07-09,"65,51"
2015-07-10,"66,246"
2015-07-13,"66,492"
2015-07-14,"67,137"
2015-07-15,"66,783"
2015-07-16,"66,42"
2015-07-17,"66,191"
2015-07-20,"68,557"
2015-07-21,"71,797"
2015-07-22,"71,515"
2015-07-23,"68,239"
2015-07-24,"70,168"
2015-07-27,"69,604"
2015-07-28,"68,194"
2015-07-29,"69,968"
2015-07-30,"68,694"
2015-07-31,"69,276"
2015-08-03,"68,968"
2015-08-04,"70,059"
2015-08-05,"72,051"
2015-08-06,"74,753"
2015-08-07,"75,609"
2015-08-10,"75,563"
2015-08-11,"77,129"
2015-08-12,"75,59"
2015-08-13,"73,698"
2015-08-14,"72,597"
2015-08-17,"73,925"
2015-08-18,"74,299"
2015-08-19,"75,882"
2015-08-20,"77,564"
2015-08-21,"76,427"
2015-08-24,"71,56"
2015-08-25,"70,705"
2015-08-26,"70,56"
2015-08-27,"68,694"
2015-08-28,"65,9"
2015-08-31,"67,174"
2015-09-01,"65,046"
2015-09-02,"63,826"
2015-09-03,"64,236"
2015-09-04,"66,884"
2015-09-07,"66,164"
2015-09-08,"63,981"
2015-09-09,"64,873"
2015-09-10,"65,91"
2015-09-11,"65,546"
2015-09-14,"66,42"
2015-09-15,"65,309"
2015-09-16,"63,781"
2015-09-17,"64,536"
2015-09-18,"64,599"
2015-09-21,"65,555"
2015-09-22,"62,826"
2015-09-23,"62,325"
2015-09-24,"60,824"
2015-09-25,"60,369"
2015-09-28,"60,051"
2015-09-29,"60,278"
2015-09-30,"60,233"
2015-10-01,"60,405"
2015-10-02,"60,733"
2015-10-05,"61,87"
2015-10-06,"61,569"
2015-10-07,"60,15"
2015-10-08,"58,686"
2015-10-09,"58,959"
2015-10-12,"58,713"
2015-10-13,"56,474"
2015-10-14,"57,321"
2015-10-15,"59,686"
2015-10-16,"58,686"
2015-10-19,"58,913"
2015-10-20,"58,959"
2015-10-21,"57,621"
2015-10-22,"57,139"
2015-10-23,"58,231"
2015-10-26,"58,904"
2015-10-27,"59,031"
2015-10-28,"58,176"
2015-10-29,"57,421"
2015-10-30,"57,111"
2015-11-02,"57,776"
2015-11-03,"57,321"
2015-11-04,"58,049"
2015-11-05,"58,248"
2015-11-06,"58,203"
2015-11-09,"59,122"
2015-11-10,"60,233"
2015-11-12,"59,914"
2015-11-13,"58,676"
2015-11-16,"60,287"
2015-11-17,"59,941"
2015-11-18,"62,607"
2015-11-19,"62,488"
2015-11-20,"62,68"
2015-11-23,"62,625"
2015-11-24,"63,035"
2015-11-25,"62,662"
2015-11-26,"63,235"
2015-11-27,"62,325"
2015-11-30,"61,806"
2015-12-01,"61,415"
2015-12-02,"60,551"
2015-12-03,"59,997"
2015-12-04,"60,315"
2015-12-07,"60,56"
2015-12-08,"59,686"
2015-12-09,"57,839"
2015-12-10,"57,412"
2015-12-11,"57,585"
2015-12-14,"57,776"
2015-12-15,"58,003"
2015-12-16,"58,003"
2015-12-17,"60,041"
2015-12-18,"58,667"
2015-12-21,"60,051"
2015-12-22,"61,388"
2015-12-23,"61,297"
2015-12-28,"61,715"
2015-12-29,"62,079"
2015-12-30,"61,733"
2016-01-04,"59,095"
2016-01-05,"58,849"
2016-01-07,"58,913"
2016-01-08,"57,503"
2016-01-11,"58,812"
2016-01-12,"59,396"
2016-01-13,"59,686"
2016-01-14,"58,723"
2016-01-15,"58,995"
2016-01-18,"57,804"
2016-01-19,"59,505"
2016-01-20,"58,531"
2016-01-21,"59,541"
2016-01-22,"59,122"
2016-01-25,"59,923"
2016-01-26,"59,085"
2016-01-27,"58,176"
2016-01-28,"56,775"
2016-01-29,"56,639"
2016-02-01,"55,892"
2016-02-02,"54,928"
2016-02-03,"53,326"
2016-02-04,"53,864"
2016-02-05,"55,519"
2016-02-08,"55,273"
2016-02-09,"54,5"
2016-02-10,"52,98"
2016-02-11,"52,68"
2016-02-12,"52,443"
2016-02-15,"52,68"
2016-02-16,"53,599"
2016-02-17,"57,22"
2016-02-18,"57,321"
2016-02-19,"58,076"
